vacc_on,immune_escape,matched_vacc,matched_vacc_level,vfr2,name,rt,max_t,income_group,target_pop,hs_constraints,dt,seeding_cases,age_groups_covered,age_groups_covered_d2,t_d2,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,max_coverage,vacc_period,vacc_start,vaccine_doses,vfr,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,vaccine,mu_ab_d1,k,hl_l,hl_s,period_s,period_l,ab_50,ab_50_severe,std10,max_ab,mu_ab_infection,std10_infection,mu_ab_inf_scal_vfr,repetition,hosp_scal,ICU_scal,b1,mu_ab_d2,scenario_name,index
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.04,0.21730769230769229,vaccine,1
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.04,0.21730769230769229,vaccine,2
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.04,0.21730769230769229,vaccine,3
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.04,0.21730769230769229,vaccine,4
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.04,0.21730769230769229,vaccine,5
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.04,0.21730769230769229,vaccine,6
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.04,0.21730769230769229,vaccine,7
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.04,0.21730769230769229,vaccine,8
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.04,0.21730769230769229,vaccine,9
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,10,1,1,0.04,0.21730769230769229,vaccine,10
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.04,0.3259615384615384,vaccine,11
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.04,0.3259615384615384,vaccine,12
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.04,0.3259615384615384,vaccine,13
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.04,0.3259615384615384,vaccine,14
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.04,0.3259615384615384,vaccine,15
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.04,0.3259615384615384,vaccine,16
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.04,0.3259615384615384,vaccine,17
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.04,0.3259615384615384,vaccine,18
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.04,0.3259615384615384,vaccine,19
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,10,1,1,0.04,0.3259615384615384,vaccine,20
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.04,0.43461538461538457,vaccine,21
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.04,0.43461538461538457,vaccine,22
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.04,0.43461538461538457,vaccine,23
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.04,0.43461538461538457,vaccine,24
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.04,0.43461538461538457,vaccine,25
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.04,0.43461538461538457,vaccine,26
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.04,0.43461538461538457,vaccine,27
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.04,0.43461538461538457,vaccine,28
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.04,0.43461538461538457,vaccine,29
1,0,0,1,1,scenario2,3,5475,HIC,1000000,Absent,0.25,10,4,2,180,14,14,14,0.2,90,3860,1,1,1,30,1095,1185,vaccine,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,10,1,1,0.04,0.43461538461538457,vaccine,30
